,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
0,Mission: Impossible II,"54,63,88,108","21,54,09,889",39.40%,"33,09,78,219",60.60%,2000
1,Gladiator,"46,05,83,960","18,77,05,427",40.80%,"27,28,78,533",59.20%,2000
2,Cast Away,"42,96,32,142","23,36,32,142",54.40%,"19,60,00,000",45.60%,2000
3,What Women Want,"37,41,11,707","18,28,11,707",48.90%,"19,13,00,000",51.10%,2000
4,Dinosaur,"34,98,22,765","13,77,48,063",39.40%,"21,20,74,702",60.60%,2000
5,How the Grinch Stole Christmas,"34,58,42,198","26,07,45,620",75.40%,"8,50,96,578",24.60%,2000
6,Meet the Parents,"33,04,44,045","16,62,44,045",50.30%,"16,42,00,000",49.70%,2000
7,The Perfect Storm,"32,87,18,434","18,26,18,434",55.60%,"14,61,00,000",44.40%,2000
8,X0Men,"29,63,39,528","15,72,99,718",53.10%,"13,90,39,810",46.90%,2000
9,What Lies Beneath,"29,14,20,351","15,54,64,351",53.30%,"13,59,56,000",46.70%,2000
10,Scary Movie,"27,80,19,771","15,70,19,771",56.50%,"12,10,00,000",43.50%,2000
11,Charlie's Angels,"26,41,05,545","12,53,05,545",47.40%,"13,88,00,000",52.60%,2000
12,Erin Brockovich,"25,62,71,286","12,55,95,205",49%,"13,06,76,081",51%,2000
13,Unbreakable,"24,81,18,121","9,50,11,339",38.30%,"15,31,06,782",61.70%,2000
14,Gone in 60 Seconds,"23,72,02,299","10,16,48,571",42.90%,"13,55,53,728",57.10%,2000
15,Chicken Run,"22,48,34,564","10,68,34,564",47.50%,"11,80,00,000",52.50%,2000
16,Vertical Limit,"21,56,63,859","6,92,43,859",32.10%,"14,64,20,000",67.90%,2000
17,The Patriot,"21,52,94,342","11,33,30,342",52.60%,"10,19,64,000",47.40%,2000
18,"Crouching Tiger, Hidden Dragon","21,35,25,736","12,80,78,872",60%,"8,54,46,864",40%,2000
19,Miss Congeniality,"21,27,42,720","10,68,07,667",50.20%,"10,59,35,053",49.80%,2000
20,Traffic,"20,75,15,725","12,41,15,725",59.80%,"8,34,00,000",40.20%,2000
21,Hollow Man,"19,02,13,455","7,32,09,340",38.50%,"11,70,04,115",61.50%,2000
22,102 Dalmatians,"18,36,11,771","6,69,57,026",36.50%,"11,66,54,745",63.50%,2000
23,Big Momma's House,"17,39,59,438","11,75,59,438",67.60%,"5,64,00,000",32.40%,2000
24,The Emperor's New Groove,"16,93,27,687","8,93,02,687",52.70%,"8,00,25,000",47.30%,2000
25,Nutty Professor II: The Klumps,"16,63,39,890","12,33,09,890",74.10%,"4,30,30,000",25.90%,2000
26,Scream 3,"16,18,34,276","8,91,43,175",55.10%,"7,26,91,101",44.90%,2000
27,Chocolat,"15,26,99,946","7,15,09,363",46.80%,"8,11,90,583",53.20%,2000
28,"Me, Myself & Irene","14,92,70,999","9,05,70,999",60.70%,"5,87,00,000",39.30%,2000
29,The Beach,"14,40,56,873","3,97,85,027",27.60%,"10,42,71,846",72.40%,2000
30,Remember the Titans,"13,67,06,683","11,56,54,751",84.60%,"2,10,51,932",15.40%,2000
31,Pokémon the Movie 2000,"13,39,49,270","4,37,58,684",32.70%,"9,01,90,586",67.30%,2000
32,Space Cowboys,"12,88,84,132","9,04,64,773",70.20%,"3,84,19,359",29.80%,2000
33,U0571,"12,76,66,415","7,71,22,415",60.40%,"5,05,44,000",39.60%,2000
34,The Family Man,"12,47,45,083","7,57,93,305",60.80%,"4,89,51,778",39.20%,2000
35,Road Trip,"11,97,54,278","6,85,40,777",57.20%,"5,12,13,501",42.80%,2000
36,Coyote Ugly,"11,39,16,474","6,07,86,269",53.40%,"5,31,30,205",46.60%,2000
37,Final Destination,"11,28,80,294","5,33,31,147",47.20%,"5,95,49,147",52.80%,2000
38,The Exorcist 2000 Director's Cut,"11,20,53,066","3,96,71,011",35.40%,"7,23,82,055",64.60%,2000
39,Mission to Mars,"11,09,83,407","6,08,83,407",54.90%,"5,01,00,000",45.10%,2000
40,The Kid,"11,03,17,580","6,96,91,949",63.20%,"4,06,25,631",36.80%,2000
41,Billy Elliot,"10,92,80,263","2,19,95,263",20.10%,"8,72,85,000",79.90%,2000
42,Shaft,"10,71,96,498","7,03,34,258",65.60%,"3,68,62,240",34.40%,2000
43,The Whole Nine Yards,"10,63,71,651","5,72,62,492",53.80%,"4,91,09,159",46.20%,2000
44,The Cell,"10,41,55,843","6,13,34,059",58.90%,"4,28,21,784",41.10%,2000
45,Rugrats in Paris,"10,32,91,131","7,65,07,756",74.10%,"2,67,83,375",25.90%,2000
46,Shanghai Noon,"9,92,74,467","5,69,37,502",57.40%,"4,23,36,965",42.60%,2000
47,The Tigger Movie,"9,61,59,800","4,55,54,533",47.40%,"5,06,05,267",52.60%,2000
48,The 6th Day,"9,60,85,477","3,46,04,280",36%,"6,14,81,197",64%,2000
49,Romeo Must Die,"9,10,36,760","5,59,73,336",61.50%,"3,50,63,424",38.50%,2000
50,Fantasia 2000,"9,08,74,570","6,06,55,420",66.70%,"3,02,19,150",33.30%,2000
51,Autumn in New York,"9,07,26,668","3,77,61,915",41.60%,"5,29,64,753",58.40%,2000
52,Bring It On,"9,04,49,929","6,83,79,000",75.60%,"2,20,70,929",24.40%,2000
